index,MOF,node 1,node 2,edge,topo,UG,UG_five_level,Unnamed: 8,Unnamed: 9,index.1,Unnamed: 11,node 1.1,node 2.1,edge.1,UG_five_level.1
1190.0,sym_5_on_11_sym_8_mc_9_L_46,sym_5_on_11,sym_8_mc_9,L_46,csq,23.2,Good,,0,1190.0,,sym_5_on_11,sym_8_mc_9,L_46,Good
1210.0,sym_5_on_12_sym_8_mc_7_L_20,sym_5_on_12,sym_8_mc_7,L_20,csq,13.907,Poor,,0,1210.0,,sym_5_on_12,sym_8_mc_7,L_20,Poor
1230.0,sym_5_on_12_sym_8_mc_7_L_39,sym_5_on_12,sym_8_mc_7,L_39,csq,19.044,Average,,0,1230.0,,sym_5_on_12,sym_8_mc_7,L_39,Average
1389.0,sym_5_on_9_sym_8_mc_8_L_30,sym_5_on_9,sym_8_mc_8,L_30,csq,17.474,Average,,0,1389.0,,sym_5_on_9,sym_8_mc_8,L_30,Average
1409.0,sym_5_on_9_sym_8_mc_8_L_5,sym_5_on_9,sym_8_mc_8,L_5,csq,7.917,Bad,,0,1409.0,,sym_5_on_9,sym_8_mc_8,L_5,Bad
1415.0,sym_5_on_9_sym_8_mc_9_L_10,sym_5_on_9,sym_8_mc_9,L_10,csq,5.058,Bad,,0,1415.0,,sym_5_on_9,sym_8_mc_9,L_10,Bad
1532.0,sym_3_mc_0_sym_4_on_14_L_34,sym_3_mc_0,sym_4_on_14,L_34,ctn,29.11,Excellent,,0,1532.0,,sym_3_mc_0,sym_4_on_14,L_34,Excellent
1538.0,sym_3_mc_0_sym_4_on_14_L_3,sym_3_mc_0,sym_4_on_14,L_3,ctn,13.251,Poor,,0,1538.0,,sym_3_mc_0,sym_4_on_14,L_3,Poor
1551.0,sym_3_mc_0_sym_4_on_14_L_9,sym_3_mc_0,sym_4_on_14,L_9,ctn,12.923,Poor,,0,1551.0,,sym_3_mc_0,sym_4_on_14,L_9,Poor
1585.0,sym_3_mc_0_sym_4_on_6_L_3,sym_3_mc_0,sym_4_on_6,L_3,ctn,12.257,Poor,,0,1585.0,,sym_3_mc_0,sym_4_on_6,L_3,Poor
1626.0,sym_3_mc_0_sym_4_on_7_L_33,sym_3_mc_0,sym_4_on_7,L_33,ctn,29.157,Excellent,,0,1626.0,,sym_3_mc_0,sym_4_on_7,L_33,Excellent
1666.0,sym_3_mc_0_sym_4_on_8_L_26,sym_3_mc_0,sym_4_on_8,L_26,ctn,27.893,Excellent,,0,1666.0,,sym_3_mc_0,sym_4_on_8,L_26,Excellent
1756.0,sym_3_on_1_sym_4_mc_1_L_20,sym_3_on_1,sym_4_mc_1,L_20,ctn,27.246,Excellent,,0,1756.0,,sym_3_on_1,sym_4_mc_1,L_20,Excellent
1813.0,sym_3_on_2_sym_4_mc_1_L_29,sym_3_on_2,sym_4_mc_1,L_29,ctn,32.419,Excellent,,0,1813.0,,sym_3_on_2,sym_4_mc_1,L_29,Excellent
3414.0,sym_4_mc_1_sym_16_mc_14_L_29,sym_4_mc_1,sym_16_mc_14,L_29,gar,17.836,Average,,0,3414.0,,sym_4_mc_1,sym_16_mc_14,L_29,Average
4245.0,_sym_4_mc_1_sym_4_mc_1_L_4,sym_4_mc_1,sym_4_mc_1,L_4,lcs,18.192,Average,,0,4245.0,,sym_4_mc_1,sym_4_mc_1,L_4,Average
6072.0,sym_4_mc_1_sym_5_mc_2_L_18,sym_4_mc_1,sym_5_mc_2,L_18,pth,17.05,Average,,0,6072.0,,sym_4_mc_1,sym_5_mc_2,L_18,Average
6113.0,sym_4_mc_1_sym_5_on_10_L_11,sym_4_mc_1,sym_5_on_10,L_11,pth,15.566,Average,,0,6113.0,,sym_4_mc_1,sym_5_on_10,L_11,Average
6837.0,sym_3_on_0_sym_5_mc_2_L_20,sym_3_on_0,sym_5_mc_2,L_20,pto,16.07,Average,,0,6837.0,,sym_3_on_0,sym_5_mc_2,L_20,Average
2258.0,_sym_4_on_6_sym_4_mc_1_L_8,sym_4_on_6,sym_4_mc_1,L_8,dia,11.098,Poor,,0,2258.0,,sym_4_on_6,sym_4_mc_1,L_8,Poor
2271.0,_sym_4_on_7_sym_4_mc_1_L_1,sym_4_on_7,sym_4_mc_1,L_1,dia,13.215,Poor,,0,2271.0,,sym_4_on_7,sym_4_mc_1,L_1,Poor
2326.0,_sym_4_on_8_sym_4_mc_1_L_26,sym_4_on_8,sym_4_mc_1,L_26,dia,24.957,Good,,0,2326.0,,sym_4_on_8,sym_4_mc_1,L_26,Good
2380.0,sym_12_mc_11__L_32,sym_12_mc_11,,L_32,fcu,6.814,Bad,,0,2380.0,,sym_12_mc_11,,L_32,Bad
2399.0,sym_12_mc_11__L_6,sym_12_mc_11,,L_6,fcu,2.1,Bad,,0,2399.0,,sym_12_mc_11,,L_6,Bad
8618.0,sym_3_on_0_sym_24_mc_13_L_47,sym_3_on_0,sym_24_mc_13,L_47,rht,17.261,Average,,0,8618.0,,sym_3_on_0,sym_24_mc_13,L_47,Average
9889.0,_sym_4_mc_1_sym_4_on_8_L_2,sym_4_mc_1,sym_4_on_8,L_2,sod,18.888,Average,,0,9889.0,,sym_4_mc_1,sym_4_on_8,L_2,Average
12617.0,sym_3_on_0_sym_8_mc_8_L_28,sym_3_on_0,sym_8_mc_8,L_28,the,16.321,Average,,0,12617.0,,sym_3_on_0,sym_8_mc_8,L_28,Average
2612.0,sym_4_on_14_sym_8_mc_8_L_35,sym_4_on_14,sym_8_mc_8,L_35,flu,16.817,Average,,0,2612.0,,sym_4_on_14,sym_8_mc_8,L_35,Average
2768.0,sym_4_on_6_sym_8_mc_8_L_9,sym_4_on_6,sym_8_mc_8,L_9,flu,5.5,Bad,,0,2768.0,,sym_4_on_6,sym_8_mc_8,L_9,Bad
2888.0,sym_4_on_7_sym_8_mc_8_L_30,sym_4_on_7,sym_8_mc_8,L_30,flu,15.866,Average,,0,2888.0,,sym_4_on_7,sym_8_mc_8,L_30,Average
3014.0,sym_4_on_8_sym_8_mc_8_L_14,sym_4_on_8,sym_8_mc_8,L_14,flu,13.699,Poor,,0,3014.0,,sym_4_on_8,sym_8_mc_8,L_14,Poor
3018.0,sym_4_on_8_sym_8_mc_8_L_18,sym_4_on_8,sym_8_mc_8,L_18,flu,13.501,Poor,,0,3018.0,,sym_4_on_8,sym_8_mc_8,L_18,Poor
3042.0,sym_4_on_8_sym_8_mc_8_L_3,sym_4_on_8,sym_8_mc_8,L_3,flu,10.025,Poor,,0,3042.0,,sym_4_on_8,sym_8_mc_8,L_3,Poor
3139.0,sym_5_mc_2_sym_12_mc_11_L_40,sym_5_mc_2,sym_12_mc_11,L_40,ftw,11.902,Poor,,0,3139.0,,sym_5_mc_2,sym_12_mc_11,L_40,Poor
3197.0,sym_5_on_10_sym_12_mc_11_L_6,sym_5_on_10,sym_12_mc_11,L_6,ftw,4.554,Bad,,0,3197.0,,sym_5_on_10,sym_12_mc_11,L_6,Bad
3204.0,sym_5_on_11_sym_12_mc_11_L_12,sym_5_on_11,sym_12_mc_11,L_12,ftw,5.834,Bad,,0,3204.0,,sym_5_on_11,sym_12_mc_11,L_12,Bad
3221.0,sym_5_on_11_sym_12_mc_11_L_28,sym_5_on_11,sym_12_mc_11,L_28,ftw,10.157,Poor,,0,3221.0,,sym_5_on_11,sym_12_mc_11,L_28,Poor
3345.0,sym_5_on_9_sym_12_mc_11__,sym_5_on_9,sym_12_mc_11,,ftw,0.728,Bad,,0,3345.0,,sym_5_on_9,sym_12_mc_11,,Bad
3777.0,sym_4_mc_1_sym_9_mc_5__,sym_4_mc_1,sym_9_mc_5,,iac,4.801,Bad,,0,3777.0,,sym_4_mc_1,sym_9_mc_5,,Bad
6024.0,sym_6_mc_3__L_18,sym_6_mc_3,,L_18,pcu,9.346,Bad,,0,6024.0,,sym_6_mc_3,,L_18,Bad
3576.0,sym_4_on_6_sym_16_mc_6_L_45,sym_4_on_6,sym_16_mc_6,L_45,gar,15.607,Average,,0,3576.0,,sym_4_on_6,sym_16_mc_6,L_45,Average
9819.0,_sym_4_mc_1_sym_4_on_7__,sym_4_mc_1,sym_4_on_7,,sod,9.234,Bad,,0,9819.0,,sym_4_mc_1,sym_4_on_7,,Bad
10194.0,sym_3_on_0_sym_9_mc_5_L_7,sym_3_on_0,sym_9_mc_5,L_7,spn,8.064,Bad,,0,10194.0,,sym_3_on_0,sym_9_mc_5,L_7,Bad
4100.0,sym_4_on_6_sym_13_mc_12_L_47,sym_4_on_6,sym_13_mc_12,L_47,ith,14.675,Average,,0,4100.0,,sym_4_on_6,sym_13_mc_12,L_47,Average
4121.0,sym_4_on_7_sym_13_mc_12_L_22,sym_4_on_7,sym_13_mc_12,L_22,ith,5.496,Bad,,0,4121.0,,sym_4_on_7,sym_13_mc_12,L_22,Bad
4128.0,sym_4_on_7_sym_13_mc_12_L_29,sym_4_on_7,sym_13_mc_12,L_29,ith,9.947,Poor,,0,4128.0,,sym_4_on_7,sym_13_mc_12,L_29,Poor
4133.0,sym_4_on_7_sym_13_mc_12_L_33,sym_4_on_7,sym_13_mc_12,L_33,ith,8.962,Bad,,0,4133.0,,sym_4_on_7,sym_13_mc_12,L_33,Bad
4155.0,sym_4_on_8_sym_13_mc_12__,sym_4_on_8,sym_13_mc_12,,ith,0.0,Bad,,0,4155.0,,sym_4_on_8,sym_13_mc_12,,Bad
4192.0,sym_4_on_8_sym_13_mc_12_L_43,sym_4_on_8,sym_13_mc_12,L_43,ith,15.539,Average,,0,4192.0,,sym_4_on_8,sym_13_mc_12,L_43,Average
12619.0,sym_3_on_0_sym_8_mc_8_L_2,sym_3_on_0,sym_8_mc_8,L_2,the,7.92,Bad,,0,12619.0,,sym_3_on_0,sym_8_mc_8,L_2,Bad
1727.0,sym_3_on_0_sym_4_mc_1_L_38,sym_3_on_0,sym_4_mc_1,L_38,ctn,30.38,Excellent,,0,1727.0,,sym_3_on_0,sym_4_mc_1,L_38,Excellent
1730.0,sym_3_on_0_sym_4_mc_1_L_40,sym_3_on_0,sym_4_mc_1,L_40,ctn,30.752,Excellent,,0,1730.0,,sym_3_on_0,sym_4_mc_1,L_40,Excellent
1957.0,_sym_4_mc_1_sym_4_mc_1_L_29,sym_4_mc_1,sym_4_mc_1,L_29,dia,31.286,Excellent,,0,1957.0,,sym_4_mc_1,sym_4_mc_1,L_29,Excellent
4475.0,_sym_4_on_14_sym_4_mc_1_L_6,sym_4_on_14,sym_4_mc_1,L_6,lcs,11.582,Poor,,0,4475.0,,sym_4_on_14,sym_4_mc_1,L_6,Poor
4489.0,_sym_4_on_6_sym_4_mc_1_L_19,sym_4_on_6,sym_4_mc_1,L_19,lcs,19.229,Average,,0,4489.0,,sym_4_on_6,sym_4_mc_1,L_19,Average
4583.0,_sym_4_on_8_sym_4_mc_1_L_17,sym_4_on_8,sym_4_mc_1,L_17,lcs,21.976,Good,,0,4583.0,,sym_4_on_8,sym_4_mc_1,L_17,Good
4601.0,_sym_4_on_8_sym_4_mc_1_L_33,sym_4_on_8,sym_4_mc_1,L_33,lcs,28.136,Excellent,,0,4601.0,,sym_4_on_8,sym_4_mc_1,L_33,Excellent
4619.0,_sym_4_on_8_sym_4_mc_1_L_6,sym_4_on_8,sym_4_mc_1,L_6,lcs,16.049,Average,,0,4619.0,,sym_4_on_8,sym_4_mc_1,L_6,Average
4627.0,_sym_5_mc_2_sym_5_mc_2_L_13,sym_5_mc_2,sym_5_mc_2,L_13,lvt,5.421,Bad,,0,4627.0,,sym_5_mc_2,sym_5_mc_2,L_13,Bad
4662.0,_sym_5_mc_2_sym_5_mc_2_L_45,sym_5_mc_2,sym_5_mc_2,L_45,lvt,22.59,Good,,0,4662.0,,sym_5_mc_2,sym_5_mc_2,L_45,Good
4717.0,_sym_5_mc_2_sym_5_on_10_L_8,sym_5_mc_2,sym_5_on_10,L_8,lvt,2.651,Bad,,0,4717.0,,sym_5_mc_2,sym_5_on_10,L_8,Bad
4790.0,_sym_5_mc_2_sym_5_on_12_L_30,sym_5_mc_2,sym_5_on_12,L_30,lvt,20.397,Good,,0,4790.0,,sym_5_mc_2,sym_5_on_12,L_30,Good
4800.0,_sym_5_mc_2_sym_5_on_12_L_3,sym_5_mc_2,sym_5_on_12,L_3,lvt,5.012,Bad,,0,4800.0,,sym_5_mc_2,sym_5_on_12,L_3,Bad
4971.0,_sym_5_on_11_sym_5_mc_2_L_20,sym_5_on_11,sym_5_mc_2,L_20,lvt,9.967,Poor,,0,4971.0,,sym_5_on_11,sym_5_mc_2,L_20,Poor
5025.0,_sym_5_on_12_sym_5_mc_2_L_26,sym_5_on_12,sym_5_mc_2,L_26,lvt,18.652,Average,,0,5025.0,,sym_5_on_12,sym_5_mc_2,L_26,Average
5066.0,_sym_5_on_13_sym_5_mc_2_L_1,sym_5_on_13,sym_5_mc_2,L_1,lvt,12.203,Poor,,0,5066.0,,sym_5_on_13,sym_5_mc_2,L_1,Poor
5080.0,_sym_5_on_13_sym_5_mc_2_L_32,sym_5_on_13,sym_5_mc_2,L_32,lvt,25.513,Good,,0,5080.0,,sym_5_on_13,sym_5_mc_2,L_32,Good
5140.0,_sym_5_on_9_sym_5_mc_2_L_43,sym_5_on_9,sym_5_mc_2,L_43,lvt,25.47,Good,,0,5140.0,,sym_5_on_9,sym_5_mc_2,L_43,Good
5150.0,_sym_5_on_9_sym_5_mc_2_L_9,sym_5_on_9,sym_5_mc_2,L_9,lvt,7.517,Bad,,0,5150.0,,sym_5_on_9,sym_5_mc_2,L_9,Bad
5179.0,_sym_5_mc_2_sym_5_mc_2_L_34,sym_5_mc_2,sym_5_mc_2,L_34,nbo,20.529,Good,,0,5179.0,,sym_5_mc_2,sym_5_mc_2,L_34,Good
5301.0,_sym_5_mc_2_sym_5_on_12_L_14,sym_5_mc_2,sym_5_on_12,L_14,nbo,14.102,Poor,,0,5301.0,,sym_5_mc_2,sym_5_on_12,L_14,Poor
5306.0,_sym_5_mc_2_sym_5_on_12_L_19,sym_5_mc_2,sym_5_on_12,L_19,nbo,18.313,Average,,0,5306.0,,sym_5_mc_2,sym_5_on_12,L_19,Average
5413.0,_sym_5_mc_2_sym_5_on_9_L_29,sym_5_mc_2,sym_5_on_9,L_29,nbo,18.789,Average,,0,5413.0,,sym_5_mc_2,sym_5_on_9,L_29,Average
5462.0,_sym_5_on_10_sym_5_mc_2_L_2,sym_5_on_10,sym_5_mc_2,L_2,nbo,9.932,Poor,,0,5462.0,,sym_5_on_10,sym_5_mc_2,L_2,Poor
5584.0,_sym_5_on_13_sym_5_mc_2__,sym_5_on_13,sym_5_mc_2,,nbo,4.226,Bad,,0,5584.0,,sym_5_on_13,sym_5_mc_2,,Bad
4410.0,_sym_4_mc_1_sym_4_on_8_L_29,sym_4_mc_1,sym_4_on_8,L_29,lcs,28.823,Excellent,,0,4410.0,,sym_4_mc_1,sym_4_on_8,L_29,Excellent
6138.0,sym_4_mc_1_sym_5_on_10_L_34,sym_4_mc_1,sym_5_on_10,L_34,pth,28.543,Excellent,,0,6138.0,,sym_4_mc_1,sym_5_on_10,L_34,Excellent
6143.0,sym_4_mc_1_sym_5_on_10_L_39,sym_4_mc_1,sym_5_on_10,L_39,pth,28.919,Excellent,,0,6143.0,,sym_4_mc_1,sym_5_on_10,L_39,Excellent
5784.0,sym_16_mc_14_sym_8_mc_8_L_17,sym_16_mc_14,sym_8_mc_8,L_17,ocu,8.209,Bad,,0,5784.0,,sym_16_mc_14,sym_8_mc_8,L_17,Bad
5793.0,sym_16_mc_14_sym_8_mc_8_L_25,sym_16_mc_14,sym_8_mc_8,L_25,ocu,10.49,Poor,,0,5793.0,,sym_16_mc_14,sym_8_mc_8,L_25,Poor
5862.0,sym_16_mc_14_sym_8_mc_9_L_44,sym_16_mc_14,sym_8_mc_9,L_44,ocu,11.967,Poor,,0,5862.0,,sym_16_mc_14,sym_8_mc_9,L_44,Poor
5925.0,sym_16_mc_6_sym_8_mc_8_L_14,sym_16_mc_6,sym_8_mc_8,L_14,ocu,8.385,Bad,,0,5925.0,,sym_16_mc_6,sym_8_mc_8,L_14,Bad
5951.0,sym_16_mc_6_sym_8_mc_8_L_38,sym_16_mc_6,sym_8_mc_8,L_38,ocu,14.558,Poor,,0,5951.0,,sym_16_mc_6,sym_8_mc_8,L_38,Poor
5963.0,sym_16_mc_6_sym_8_mc_8_L_5,sym_16_mc_6,sym_8_mc_8,L_5,ocu,4.681,Bad,,0,5963.0,,sym_16_mc_6,sym_8_mc_8,L_5,Bad
6197.0,sym_4_mc_1_sym_5_on_11_L_44,sym_4_mc_1,sym_5_on_11,L_44,pth,29.709,Excellent,,0,6197.0,,sym_4_mc_1,sym_5_on_11,L_44,Excellent
6235.0,sym_4_mc_1_sym_5_on_12_L_35,sym_4_mc_1,sym_5_on_12,L_35,pth,27.061,Excellent,,0,6235.0,,sym_4_mc_1,sym_5_on_12,L_35,Excellent
6342.0,sym_4_mc_1_sym_5_on_9_L_45,sym_4_mc_1,sym_5_on_9,L_45,pth,26.802,Excellent,,0,6342.0,,sym_4_mc_1,sym_5_on_9,L_45,Excellent
9700.0,_sym_4_mc_1_sym_4_mc_1_L_27,sym_4_mc_1,sym_4_mc_1,L_27,sod,34.937,Excellent,,0,9700.0,,sym_4_mc_1,sym_4_mc_1,L_27,Excellent
9713.0,_sym_4_mc_1_sym_4_mc_1_L_39,sym_4_mc_1,sym_4_mc_1,L_39,sod,37.536,Excellent,,0,9713.0,,sym_4_mc_1,sym_4_mc_1,L_39,Excellent
9763.0,_sym_4_mc_1_sym_4_on_14_L_45,sym_4_mc_1,sym_4_on_14,L_45,sod,30.419,Excellent,,0,9763.0,,sym_4_mc_1,sym_4_on_14,L_45,Excellent
9856.0,_sym_4_mc_1_sym_4_on_7_L_43,sym_4_mc_1,sym_4_on_7,L_43,sod,34.814,Excellent,,0,9856.0,,sym_4_mc_1,sym_4_on_7,L_43,Excellent
2090.0,_sym_4_mc_1_sym_4_on_7_L_24,sym_4_mc_1,sym_4_on_7,L_24,dia,24.206,Good,,0,2090.0,,sym_4_mc_1,sym_4_on_7,L_24,Good
6358.0,sym_4_on_14_sym_5_mc_2_L_18,sym_4_on_14,sym_5_mc_2,L_18,pth,10.241,Poor,,0,6358.0,,sym_4_on_14,sym_5_mc_2,L_18,Poor
6373.0,sym_4_on_14_sym_5_mc_2_L_34,sym_4_on_14,sym_5_mc_2,L_34,pth,19.156,Average,,0,6373.0,,sym_4_on_14,sym_5_mc_2,L_34,Average
6406.0,sym_4_on_6_sym_5_mc_2_L_21,sym_4_on_6,sym_5_mc_2,L_21,pth,12.088,Poor,,0,6406.0,,sym_4_on_6,sym_5_mc_2,L_21,Poor
6481.0,sym_4_on_7_sym_5_mc_2_L_46,sym_4_on_7,sym_5_mc_2,L_46,pth,27.584,Excellent,,0,6481.0,,sym_4_on_7,sym_5_mc_2,L_46,Excellent
6561.0,sym_3_mc_0_sym_5_mc_2_L_31,sym_3_mc_0,sym_5_mc_2,L_31,pto,24.643,Good,,0,6561.0,,sym_3_mc_0,sym_5_mc_2,L_31,Good
6637.0,sym_3_mc_0_sym_5_on_11_L_13,sym_3_mc_0,sym_5_on_11,L_13,pto,18.418,Average,,0,6637.0,,sym_3_mc_0,sym_5_on_11,L_13,Average
6740.0,sym_3_mc_0_sym_5_on_13_L_1,sym_3_mc_0,sym_5_on_13,L_1,pto,17.961,Average,,0,6740.0,,sym_3_mc_0,sym_5_on_13,L_1,Average
6820.0,sym_3_mc_0_sym_5_on_9_L_5,sym_3_mc_0,sym_5_on_9,L_5,pto,9.869,Poor,,0,6820.0,,sym_3_mc_0,sym_5_on_9,L_5,Poor
2486.0,sym_4_mc_1_sym_8_mc_8_L_41,sym_4_mc_1,sym_8_mc_8,L_41,flu,23.3,Good,,0,2486.0,,sym_4_mc_1,sym_8_mc_8,L_41,Good
3462.0,sym_4_mc_1_sym_16_mc_6_L_29,sym_4_mc_1,sym_16_mc_6,L_29,gar,20.182,Good,,0,3462.0,,sym_4_mc_1,sym_16_mc_6,L_29,Good
6987.0,sym_3_on_4_sym_5_mc_2_L_26,sym_3_on_4,sym_5_mc_2,L_26,pto,22.226,Good,,0,6987.0,,sym_3_on_4,sym_5_mc_2,L_26,Good
7018.0,sym_3_on_5_sym_5_mc_2_L_10,sym_3_on_5,sym_5_mc_2,L_10,pto,15.422,Average,,0,7018.0,,sym_3_on_5,sym_5_mc_2,L_10,Average
7044.0,sym_3_on_5_sym_5_mc_2_L_34,sym_3_on_5,sym_5_mc_2,L_34,pto,29.174,Excellent,,0,7044.0,,sym_3_on_5,sym_5_mc_2,L_34,Excellent
7062.0,sym_3_on_5_sym_5_mc_2_L_7,sym_3_on_5,sym_5_mc_2,L_7,pto,14.564,Poor,,0,7062.0,,sym_3_on_5,sym_5_mc_2,L_7,Poor
7124.0,sym_5_mc_2_sym_4_on_14_L_22,sym_5_mc_2,sym_4_on_14,L_22,pts,14.654,Average,,0,7124.0,,sym_5_mc_2,sym_4_on_14,L_22,Average
7142.0,sym_5_mc_2_sym_4_on_14_L_40,sym_5_mc_2,sym_4_on_14,L_40,pts,20.893,Good,,0,7142.0,,sym_5_mc_2,sym_4_on_14,L_40,Good
7248.0,sym_5_mc_2_sym_4_on_7_L_7,sym_5_mc_2,sym_4_on_7,L_7,pts,7.856,Bad,,0,7248.0,,sym_5_mc_2,sym_4_on_7,L_7,Bad
7285.0,sym_5_mc_2_sym_4_on_8_L_40,sym_5_mc_2,sym_4_on_8,L_40,pts,25.715,Good,,0,7285.0,,sym_5_mc_2,sym_4_on_8,L_40,Good
7300.0,sym_5_on_10_sym_4_mc_1_L_10,sym_5_on_10,sym_4_mc_1,L_10,pts,16.432,Average,,0,7300.0,,sym_5_on_10,sym_4_mc_1,L_10,Average
7325.0,sym_5_on_10_sym_4_mc_1_L_33,sym_5_on_10,sym_4_mc_1,L_33,pts,28.564,Excellent,,0,7325.0,,sym_5_on_10,sym_4_mc_1,L_33,Excellent
7393.0,sym_5_on_11_sym_4_mc_1_L_8,sym_5_on_11,sym_4_mc_1,L_8,pts,16.393,Average,,0,7393.0,,sym_5_on_11,sym_4_mc_1,L_8,Average
7400.0,sym_5_on_12_sym_4_mc_1_L_14,sym_5_on_12,sym_4_mc_1,L_14,pts,21.043,Good,,0,7400.0,,sym_5_on_12,sym_4_mc_1,L_14,Good
7506.0,sym_5_on_9_sym_4_mc_1_L_23,sym_5_on_9,sym_4_mc_1,L_23,pts,23.167,Good,,0,7506.0,,sym_5_on_9,sym_4_mc_1,L_23,Good
7516.0,sym_5_on_9_sym_4_mc_1_L_32,sym_5_on_9,sym_4_mc_1,L_32,pts,26.424,Excellent,,0,7516.0,,sym_5_on_9,sym_4_mc_1,L_32,Excellent
7530.0,sym_5_on_9_sym_4_mc_1_L_45,sym_5_on_9,sym_4_mc_1,L_45,pts,29.506,Excellent,,0,7530.0,,sym_5_on_9,sym_4_mc_1,L_45,Excellent
7559.0,sym_3_mc_0_sym_6_mc_3_L_28,sym_3_mc_0,sym_6_mc_3,L_28,pyr,19.92,Good,,0,7559.0,,sym_3_mc_0,sym_6_mc_3,L_28,Good
3466.0,sym_4_mc_1_sym_16_mc_6_L_32,sym_4_mc_1,sym_16_mc_6,L_32,gar,19.759,Good,,0,3466.0,,sym_4_mc_1,sym_16_mc_6,L_32,Good
7647.0,sym_3_on_1_sym_6_mc_3_L_20,sym_3_on_1,sym_6_mc_3,L_20,pyr,16.022,Average,,0,7647.0,,sym_3_on_1,sym_6_mc_3,L_20,Average
7804.0,sym_3_on_5_sym_6_mc_3_L_32,sym_3_on_5,sym_6_mc_3,L_32,pyr,22.392,Good,,0,7804.0,,sym_3_on_5,sym_6_mc_3,L_32,Good
7881.0,sym_8_mc_7__L_16,sym_8_mc_7,,L_16,reo,7.536,Bad,,0,7881.0,,sym_8_mc_7,,L_16,Bad
7920.0,sym_8_mc_7__L_8,sym_8_mc_7,,L_8,reo,3.461,Bad,,0,7920.0,,sym_8_mc_7,,L_8,Bad
