index,MOF,node 1,node 2,edge,topo,UG,UG_five_level
50,sym_16_mc_14__L_12,sym_16_mc_14,,L_12,bcs,3.509,Bad
51,sym_16_mc_14__L_13,sym_16_mc_14,,L_13,bcs,3.504,Bad
52,sym_16_mc_14__L_14,sym_16_mc_14,,L_14,bcs,4.412,Bad
53,sym_16_mc_14__L_15,sym_16_mc_14,,L_15,bcs,4.441,Bad
54,sym_16_mc_14__L_16,sym_16_mc_14,,L_16,bcs,5.139,Bad
55,sym_16_mc_14__L_17,sym_16_mc_14,,L_17,bcs,5.453,Bad
56,sym_16_mc_14__L_18,sym_16_mc_14,,L_18,bcs,5.392,Bad
57,sym_16_mc_14__L_19,sym_16_mc_14,,L_19,bcs,6.402,Bad
58,sym_16_mc_14__L_1,sym_16_mc_14,,L_1,bcs,1.808,Bad
59,sym_16_mc_14__L_20,sym_16_mc_14,,L_20,bcs,6.375,Bad
60,sym_16_mc_14__L_21,sym_16_mc_14,,L_21,bcs,7.246,Bad
61,sym_16_mc_14__L_22,sym_16_mc_14,,L_22,bcs,6.99,Bad
62,sym_16_mc_14__L_23,sym_16_mc_14,,L_23,bcs,7.477,Bad
63,sym_16_mc_14__L_24,sym_16_mc_14,,L_24,bcs,7.563,Bad
64,sym_16_mc_14__L_25,sym_16_mc_14,,L_25,bcs,7.464,Bad
65,sym_16_mc_14__L_26,sym_16_mc_14,,L_26,bcs,6.972,Bad
66,sym_16_mc_14__L_27,sym_16_mc_14,,L_27,bcs,7.932,Bad
67,sym_16_mc_14__L_28,sym_16_mc_14,,L_28,bcs,9.15,Bad
68,sym_16_mc_14__L_29,sym_16_mc_14,,L_29,bcs,8.765,Bad
69,sym_16_mc_14__L_2,sym_16_mc_14,,L_2,bcs,1.767,Bad
70,sym_16_mc_14__L_30,sym_16_mc_14,,L_30,bcs,8.434,Bad
71,sym_16_mc_14__L_31,sym_16_mc_14,,L_31,bcs,7.792,Bad
72,sym_16_mc_14__L_32,sym_16_mc_14,,L_32,bcs,10.101,Poor
73,sym_16_mc_14__L_33,sym_16_mc_14,,L_33,bcs,8.758,Bad
74,sym_16_mc_14__L_34,sym_16_mc_14,,L_34,bcs,9.253,Bad
75,sym_16_mc_14__L_35,sym_16_mc_14,,L_35,bcs,8.849,Bad
76,sym_16_mc_14__L_36,sym_16_mc_14,,L_36,bcs,9.12,Bad
77,sym_16_mc_14__L_37,sym_16_mc_14,,L_37,bcs,9.178,Bad
78,sym_16_mc_14__L_38,sym_16_mc_14,,L_38,bcs,9.141,Bad
79,sym_16_mc_14__L_39,sym_16_mc_14,,L_39,bcs,9.884,Poor
80,sym_16_mc_14__L_3,sym_16_mc_14,,L_3,bcs,2.342,Bad
81,sym_16_mc_14__L_40,sym_16_mc_14,,L_40,bcs,9.609,Bad
82,sym_16_mc_14__L_41,sym_16_mc_14,,L_41,bcs,10.318,Poor
83,sym_16_mc_14__L_42,sym_16_mc_14,,L_42,bcs,9.55,Bad
84,sym_16_mc_14__L_43,sym_16_mc_14,,L_43,bcs,11.631,Poor
85,sym_16_mc_14__L_44,sym_16_mc_14,,L_44,bcs,11.174,Poor
86,sym_16_mc_14__L_45,sym_16_mc_14,,L_45,bcs,10.495,Poor
87,sym_16_mc_14__L_46,sym_16_mc_14,,L_46,bcs,13.053,Poor
88,sym_16_mc_14__L_47,sym_16_mc_14,,L_47,bcs,13.514,Poor
89,sym_16_mc_14__L_4,sym_16_mc_14,,L_4,bcs,3.011,Bad
90,sym_16_mc_14__L_5,sym_16_mc_14,,L_5,bcs,3.158,Bad
91,sym_16_mc_14__L_6,sym_16_mc_14,,L_6,bcs,3.017,Bad
92,sym_16_mc_14__L_7,sym_16_mc_14,,L_7,bcs,2.819,Bad
93,sym_16_mc_14__L_8,sym_16_mc_14,,L_8,bcs,3.018,Bad
94,sym_16_mc_14__L_9,sym_16_mc_14,,L_9,bcs,3.074,Bad
95,sym_16_mc_6__L_10,sym_16_mc_6,,L_10,bcs,0.133,Bad
96,sym_16_mc_6__L_11,sym_16_mc_6,,L_11,bcs,0.18,Bad
97,sym_16_mc_6__L_12,sym_16_mc_6,,L_12,bcs,0.786,Bad
98,sym_16_mc_6__L_13,sym_16_mc_6,,L_13,bcs,1.086,Bad
99,sym_16_mc_6__L_14,sym_16_mc_6,,L_14,bcs,2.372,Bad
100,sym_16_mc_6__L_15,sym_16_mc_6,,L_15,bcs,1.559,Bad
101,sym_16_mc_6__L_16,sym_16_mc_6,,L_16,bcs,3.451,Bad
102,sym_16_mc_6__L_17,sym_16_mc_6,,L_17,bcs,3.034,Bad
103,sym_16_mc_6__L_18,sym_16_mc_6,,L_18,bcs,3.671,Bad
104,sym_16_mc_6__L_19,sym_16_mc_6,,L_19,bcs,2.517,Bad
105,sym_16_mc_6__L_1,sym_16_mc_6,,L_1,bcs,0.114,Bad
106,sym_16_mc_6__L_20,sym_16_mc_6,,L_20,bcs,3.219,Bad
107,sym_16_mc_6__L_21,sym_16_mc_6,,L_21,bcs,2.867,Bad
108,sym_16_mc_6__L_22,sym_16_mc_6,,L_22,bcs,4.43,Bad
109,sym_16_mc_6__L_23,sym_16_mc_6,,L_23,bcs,5.544,Bad
110,sym_16_mc_6__L_24,sym_16_mc_6,,L_24,bcs,6.385,Bad
111,sym_16_mc_6__L_25,sym_16_mc_6,,L_25,bcs,6.626,Bad
112,sym_16_mc_6__L_26,sym_16_mc_6,,L_26,bcs,6.934,Bad
113,sym_16_mc_6__L_27,sym_16_mc_6,,L_27,bcs,10.614,Poor
114,sym_16_mc_6__L_28,sym_16_mc_6,,L_28,bcs,5.229,Bad
115,sym_16_mc_6__L_29,sym_16_mc_6,,L_29,bcs,9.564,Bad
116,sym_16_mc_6__L_2,sym_16_mc_6,,L_2,bcs,0.085,Bad
117,sym_16_mc_6__L_30,sym_16_mc_6,,L_30,bcs,9.511,Bad
118,sym_16_mc_6__L_31,sym_16_mc_6,,L_31,bcs,0.239,Bad
119,sym_16_mc_6__L_32,sym_16_mc_6,,L_32,bcs,5,Bad
120,sym_16_mc_6__L_33,sym_16_mc_6,,L_33,bcs,4.724,Bad
121,sym_16_mc_6__L_34,sym_16_mc_6,,L_34,bcs,3.805,Bad
122,sym_16_mc_6__L_35,sym_16_mc_6,,L_35,bcs,9.906,Poor
123,sym_16_mc_6__L_36,sym_16_mc_6,,L_36,bcs,8.873,Bad
124,sym_16_mc_6__L_37,sym_16_mc_6,,L_37,bcs,10.464,Poor
125,sym_16_mc_6__L_38,sym_16_mc_6,,L_38,bcs,11.151,Poor
126,sym_16_mc_6__L_39,sym_16_mc_6,,L_39,bcs,11.212,Poor
127,sym_16_mc_6__L_3,sym_16_mc_6,,L_3,bcs,0.642,Bad
128,sym_16_mc_6__L_40,sym_16_mc_6,,L_40,bcs,10.855,Poor
129,sym_16_mc_6__L_41,sym_16_mc_6,,L_41,bcs,11.669,Poor
130,sym_16_mc_6__L_42,sym_16_mc_6,,L_42,bcs,10.314,Poor
131,sym_16_mc_6__L_43,sym_16_mc_6,,L_43,bcs,12.84,Poor
132,sym_16_mc_6__L_44,sym_16_mc_6,,L_44,bcs,12.479,Poor
133,sym_16_mc_6__L_45,sym_16_mc_6,,L_45,bcs,11.383,Poor
134,sym_16_mc_6__L_46,sym_16_mc_6,,L_46,bcs,16.044,Average
135,sym_16_mc_6__L_47,sym_16_mc_6,,L_47,bcs,7.124,Bad
136,sym_16_mc_6__L_4,sym_16_mc_6,,L_4,bcs,0.403,Bad
137,sym_16_mc_6__L_5,sym_16_mc_6,,L_5,bcs,0.356,Bad
138,sym_16_mc_6__L_6,sym_16_mc_6,,L_6,bcs,0.393,Bad
139,sym_16_mc_6__L_7,sym_16_mc_6,,L_7,bcs,0.022,Bad
140,sym_16_mc_6__L_8,sym_16_mc_6,,L_8,bcs,0.058,Bad
141,sym_16_mc_6__L_9,sym_16_mc_6,,L_9,bcs,0.252,Bad
142,sym_10_mc_10__L_10,sym_10_mc_10,,L_10,bct,2.025,Bad
143,sym_10_mc_10__L_11,sym_10_mc_10,,L_11,bct,1.829,Bad
144,sym_10_mc_10__L_12,sym_10_mc_10,,L_12,bct,2.782,Bad
145,sym_10_mc_10__L_13,sym_10_mc_10,,L_13,bct,2.844,Bad
146,sym_10_mc_10__L_14,sym_10_mc_10,,L_14,bct,3.998,Bad
147,sym_10_mc_10__L_15,sym_10_mc_10,,L_15,bct,3.994,Bad
148,sym_10_mc_10__L_16,sym_10_mc_10,,L_16,bct,4.7,Bad
149,sym_10_mc_10__L_17,sym_10_mc_10,,L_17,bct,4.783,Bad
150,sym_10_mc_10__L_18,sym_10_mc_10,,L_18,bct,4.492,Bad
151,sym_10_mc_10__L_19,sym_10_mc_10,,L_19,bct,5.548,Bad
152,sym_10_mc_10__L_1,sym_10_mc_10,,L_1,bct,1.95,Bad
153,sym_10_mc_10__L_20,sym_10_mc_10,,L_20,bct,5.578,Bad
154,sym_10_mc_10__L_21,sym_10_mc_10,,L_21,bct,5.355,Bad
155,sym_10_mc_10__L_22,sym_10_mc_10,,L_22,bct,5.357,Bad
156,sym_10_mc_10__L_23,sym_10_mc_10,,L_23,bct,5.904,Bad
157,sym_10_mc_10__L_24,sym_10_mc_10,,L_24,bct,6.407,Bad
158,sym_10_mc_10__L_25,sym_10_mc_10,,L_25,bct,6.211,Bad
159,sym_10_mc_10__L_26,sym_10_mc_10,,L_26,bct,5.791,Bad
160,sym_10_mc_10__L_27,sym_10_mc_10,,L_27,bct,7.199,Bad
161,sym_10_mc_10__L_28,sym_10_mc_10,,L_28,bct,6.519,Bad
162,sym_10_mc_10__L_29,sym_10_mc_10,,L_29,bct,8.529,Bad
163,sym_10_mc_10__L_2,sym_10_mc_10,,L_2,bct,1.969,Bad
164,sym_10_mc_10__L_30,sym_10_mc_10,,L_30,bct,7.275,Bad
165,sym_10_mc_10__L_31,sym_10_mc_10,,L_31,bct,5.916,Bad
166,sym_10_mc_10__L_32,sym_10_mc_10,,L_32,bct,7.406,Bad
167,sym_10_mc_10__L_33,sym_10_mc_10,,L_33,bct,7.304,Bad
168,sym_10_mc_10__L_34,sym_10_mc_10,,L_34,bct,8.149,Bad
169,sym_10_mc_10__L_35,sym_10_mc_10,,L_35,bct,7.666,Bad
170,sym_10_mc_10__L_36,sym_10_mc_10,,L_36,bct,7.039,Bad
171,sym_10_mc_10__L_37,sym_10_mc_10,,L_37,bct,7.957,Bad
172,sym_10_mc_10__L_38,sym_10_mc_10,,L_38,bct,7.999,Bad
173,sym_10_mc_10__L_39,sym_10_mc_10,,L_39,bct,8.522,Bad
174,sym_10_mc_10__L_3,sym_10_mc_10,,L_3,bct,2.21,Bad
175,sym_10_mc_10__L_40,sym_10_mc_10,,L_40,bct,8.098,Bad
176,sym_10_mc_10__L_41,sym_10_mc_10,,L_41,bct,8.881,Bad
177,sym_10_mc_10__L_42,sym_10_mc_10,,L_42,bct,8.177,Bad
178,sym_10_mc_10__L_43,sym_10_mc_10,,L_43,bct,9.829,Poor
179,sym_10_mc_10__L_44,sym_10_mc_10,,L_44,bct,9.516,Bad
180,sym_10_mc_10__L_45,sym_10_mc_10,,L_45,bct,8.781,Bad
181,sym_10_mc_10__L_46,sym_10_mc_10,,L_46,bct,11.297,Poor
182,sym_10_mc_10__L_47,sym_10_mc_10,,L_47,bct,11.688,Poor
183,sym_10_mc_10__L_4,sym_10_mc_10,,L_4,bct,1.486,Bad
184,sym_10_mc_10__L_5,sym_10_mc_10,,L_5,bct,1.365,Bad
185,sym_10_mc_10__L_6,sym_10_mc_10,,L_6,bct,1.812,Bad
186,sym_10_mc_10__L_7,sym_10_mc_10,,L_7,bct,1.897,Bad
187,sym_10_mc_10__L_8,sym_10_mc_10,,L_8,bct,1.748,Bad
188,sym_10_mc_10__L_9,sym_10_mc_10,,L_9,bct,1.879,Bad
189,sym_8_mc_7__L_10,sym_8_mc_7,,L_10,bcu,2.776,Bad
190,sym_8_mc_7__L_11,sym_8_mc_7,,L_11,bcu,1.824,Bad
191,sym_8_mc_7__L_12,sym_8_mc_7,,L_12,bcu,3.596,Bad
192,sym_8_mc_7__L_13,sym_8_mc_7,,L_13,bcu,3.552,Bad
193,sym_8_mc_7__L_14,sym_8_mc_7,,L_14,bcu,4.578,Bad
194,sym_8_mc_7__L_15,sym_8_mc_7,,L_15,bcu,3.959,Bad
195,sym_8_mc_7__L_16,sym_8_mc_7,,L_16,bcu,6.186,Bad
196,sym_8_mc_7__L_17,sym_8_mc_7,,L_17,bcu,4.663,Bad
197,sym_8_mc_7__L_18,sym_8_mc_7,,L_18,bcu,4.879,Bad
198,sym_8_mc_7__L_19,sym_8_mc_7,,L_19,bcu,6.537,Bad
199,sym_8_mc_7__L_1,sym_8_mc_7,,L_1,bcu,2.441,Bad
200,sym_8_mc_7__L_20,sym_8_mc_7,,L_20,bcu,6.512,Bad
201,sym_8_mc_7__L_21,sym_8_mc_7,,L_21,bcu,3.535,Bad
202,sym_8_mc_7__L_22,sym_8_mc_7,,L_22,bcu,6.055,Bad
203,sym_8_mc_7__L_23,sym_8_mc_7,,L_23,bcu,6.69,Bad
204,sym_8_mc_7__L_24,sym_8_mc_7,,L_24,bcu,8.134,Bad
205,sym_8_mc_7__L_25,sym_8_mc_7,,L_25,bcu,7.538,Bad
206,sym_8_mc_7__L_26,sym_8_mc_7,,L_26,bcu,6.973,Bad
207,sym_8_mc_7__L_27,sym_8_mc_7,,L_27,bcu,8.761,Bad
208,sym_8_mc_7__L_28,sym_8_mc_7,,L_28,bcu,0.751,Bad
209,sym_8_mc_7__L_29,sym_8_mc_7,,L_29,bcu,8.508,Bad
210,sym_8_mc_7__L_2,sym_8_mc_7,,L_2,bcu,2.467,Bad
211,sym_8_mc_7__L_30,sym_8_mc_7,,L_30,bcu,8.323,Bad
212,sym_8_mc_7__L_31,sym_8_mc_7,,L_31,bcu,3.258,Bad
213,sym_8_mc_7__L_32,sym_8_mc_7,,L_32,bcu,7.771,Bad
214,sym_8_mc_7__L_33,sym_8_mc_7,,L_33,bcu,8.072,Bad
215,sym_8_mc_7__L_34,sym_8_mc_7,,L_34,bcu,9.552,Bad
216,sym_8_mc_7__L_35,sym_8_mc_7,,L_35,bcu,9.277,Bad
217,sym_8_mc_7__L_36,sym_8_mc_7,,L_36,bcu,8.471,Bad
218,sym_8_mc_7__L_37,sym_8_mc_7,,L_37,bcu,9.588,Bad
219,sym_8_mc_7__L_38,sym_8_mc_7,,L_38,bcu,9.582,Bad
220,sym_8_mc_7__L_39,sym_8_mc_7,,L_39,bcu,10.523,Poor
221,sym_8_mc_7__L_3,sym_8_mc_7,,L_3,bcu,2.983,Bad
222,sym_8_mc_7__L_40,sym_8_mc_7,,L_40,bcu,10.217,Poor
223,sym_8_mc_7__L_41,sym_8_mc_7,,L_41,bcu,10.606,Poor
224,sym_8_mc_7__L_42,sym_8_mc_7,,L_42,bcu,9.863,Poor
225,sym_8_mc_7__L_43,sym_8_mc_7,,L_43,bcu,11.598,Poor
226,sym_8_mc_7__L_44,sym_8_mc_7,,L_44,bcu,11.371,Poor
227,sym_8_mc_7__L_45,sym_8_mc_7,,L_45,bcu,10.355,Poor
228,sym_8_mc_7__L_46,sym_8_mc_7,,L_46,bcu,13.522,Poor
229,sym_8_mc_7__L_47,sym_8_mc_7,,L_47,bcu,13.025,Poor
230,sym_8_mc_7__L_4,sym_8_mc_7,,L_4,bcu,2.35,Bad
231,sym_8_mc_7__L_5,sym_8_mc_7,,L_5,bcu,1.842,Bad
232,sym_8_mc_7__L_6,sym_8_mc_7,,L_6,bcu,2.208,Bad
233,sym_8_mc_7__L_7,sym_8_mc_7,,L_7,bcu,2.082,Bad
234,sym_8_mc_7__L_8,sym_8_mc_7,,L_8,bcu,1.107,Bad
235,sym_8_mc_7__L_9,sym_8_mc_7,,L_9,bcu,2.094,Bad
236,sym_8_mc_8__L_10,sym_8_mc_8,,L_10,bcu,5.293,Bad
237,sym_8_mc_8__L_11,sym_8_mc_8,,L_11,bcu,1.487,Bad
238,sym_8_mc_8__L_12,sym_8_mc_8,,L_12,bcu,3.685,Bad
239,sym_8_mc_8__L_13,sym_8_mc_8,,L_13,bcu,6.278,Bad
240,sym_8_mc_8__L_14,sym_8_mc_8,,L_14,bcu,7,Bad
241,sym_8_mc_8__L_15,sym_8_mc_8,,L_15,bcu,6.717,Bad
242,sym_8_mc_8__L_16,sym_8_mc_8,,L_16,bcu,8.894,Bad
243,sym_8_mc_8__L_17,sym_8_mc_8,,L_17,bcu,4.014,Bad
244,sym_8_mc_8__L_18,sym_8_mc_8,,L_18,bcu,3.924,Bad
245,sym_8_mc_8__L_19,sym_8_mc_8,,L_19,bcu,8.628,Bad
246,sym_8_mc_8__L_1,sym_8_mc_8,,L_1,bcu,4.134,Bad
247,sym_8_mc_8__L_20,sym_8_mc_8,,L_20,bcu,8.706,Bad
248,sym_8_mc_8__L_21,sym_8_mc_8,,L_21,bcu,1.206,Bad
249,sym_8_mc_8__L_22,sym_8_mc_8,,L_22,bcu,5.254,Bad
250,sym_8_mc_8__L_23,sym_8_mc_8,,L_23,bcu,1.578,Bad
251,sym_8_mc_8__L_24,sym_8_mc_8,,L_24,bcu,0.899,Bad
252,sym_8_mc_8__L_25,sym_8_mc_8,,L_25,bcu,1.361,Bad
253,sym_8_mc_8__L_26,sym_8_mc_8,,L_26,bcu,9.38,Bad
254,sym_8_mc_8__L_27,sym_8_mc_8,,L_27,bcu,11.836,Poor
255,sym_8_mc_8__L_28,sym_8_mc_8,,L_28,bcu,2.147,Bad
256,sym_8_mc_8__L_29,sym_8_mc_8,,L_29,bcu,0.924,Bad
257,sym_8_mc_8__L_2,sym_8_mc_8,,L_2,bcu,4.888,Bad
258,sym_8_mc_8__L_30,sym_8_mc_8,,L_30,bcu,9.765,Bad
259,sym_8_mc_8__L_31,sym_8_mc_8,,L_31,bcu,2.534,Bad
260,sym_8_mc_8__L_32,sym_8_mc_8,,L_32,bcu,2.752,Bad
261,sym_8_mc_8__L_33,sym_8_mc_8,,L_33,bcu,2.056,Bad
262,sym_8_mc_8__L_34,sym_8_mc_8,,L_34,bcu,12.12,Poor
263,sym_8_mc_8__L_35,sym_8_mc_8,,L_35,bcu,11.827,Poor
264,sym_8_mc_8__L_36,sym_8_mc_8,,L_36,bcu,1.393,Bad
265,sym_8_mc_8__L_37,sym_8_mc_8,,L_37,bcu,11.602,Poor
266,sym_8_mc_8__L_38,sym_8_mc_8,,L_38,bcu,11.772,Poor
267,sym_8_mc_8__L_39,sym_8_mc_8,,L_39,bcu,0.841,Bad
268,sym_8_mc_8__L_3,sym_8_mc_8,,L_3,bcu,5.775,Bad
269,sym_8_mc_8__L_40,sym_8_mc_8,,L_40,bcu,0.413,Bad
270,sym_8_mc_8__L_41,sym_8_mc_8,,L_41,bcu,1.038,Bad
271,sym_8_mc_8__L_42,sym_8_mc_8,,L_42,bcu,11.976,Poor
272,sym_8_mc_8__L_43,sym_8_mc_8,,L_43,bcu,0.245,Bad
273,sym_8_mc_8__L_44,sym_8_mc_8,,L_44,bcu,0.465,Bad
274,sym_8_mc_8__L_45,sym_8_mc_8,,L_45,bcu,12.246,Poor
275,sym_8_mc_8__L_46,sym_8_mc_8,,L_46,bcu,12.848,Poor
276,sym_8_mc_8__L_47,sym_8_mc_8,,L_47,bcu,15.305,Average
277,sym_8_mc_8__L_4,sym_8_mc_8,,L_4,bcu,3.458,Bad
278,sym_8_mc_8__L_5,sym_8_mc_8,,L_5,bcu,3.851,Bad
279,sym_8_mc_8__L_6,sym_8_mc_8,,L_6,bcu,2.53,Bad
280,sym_8_mc_8__L_7,sym_8_mc_8,,L_7,bcu,2.911,Bad
281,sym_8_mc_8__L_8,sym_8_mc_8,,L_8,bcu,4.125,Bad
282,sym_8_mc_8__L_9,sym_8_mc_8,,L_9,bcu,1.844,Bad
283,sym_8_mc_9__L_10,sym_8_mc_9,,L_10,bcu,2.133,Bad
284,sym_8_mc_9__L_11,sym_8_mc_9,,L_11,bcu,1.91,Bad
285,sym_8_mc_9__L_12,sym_8_mc_9,,L_12,bcu,2.834,Bad
286,sym_8_mc_9__L_13,sym_8_mc_9,,L_13,bcu,2.842,Bad
287,sym_8_mc_9__L_14,sym_8_mc_9,,L_14,bcu,4.115,Bad
288,sym_8_mc_9__L_15,sym_8_mc_9,,L_15,bcu,4.01,Bad
289,sym_8_mc_9__L_16,sym_8_mc_9,,L_16,bcu,4.519,Bad
290,sym_8_mc_9__L_17,sym_8_mc_9,,L_17,bcu,4.925,Bad
291,sym_8_mc_9__L_18,sym_8_mc_9,,L_18,bcu,4.752,Bad
292,sym_8_mc_9__L_19,sym_8_mc_9,,L_19,bcu,5.255,Bad
293,sym_8_mc_9__L_1,sym_8_mc_9,,L_1,bcu,1.835,Bad
294,sym_8_mc_9__L_20,sym_8_mc_9,,L_20,bcu,5.261,Bad
295,sym_8_mc_9__L_21,sym_8_mc_9,,L_21,bcu,5.259,Bad
296,sym_8_mc_9__L_22,sym_8_mc_9,,L_22,bcu,5.48,Bad
297,sym_8_mc_9__L_23,sym_8_mc_9,,L_23,bcu,6.03,Bad
298,sym_8_mc_9__L_24,sym_8_mc_9,,L_24,bcu,6.343,Bad
299,sym_8_mc_9__L_25,sym_8_mc_9,,L_25,bcu,6.158,Bad
300,sym_8_mc_9__L_26,sym_8_mc_9,,L_26,bcu,5.774,Bad
301,sym_8_mc_9__L_27,sym_8_mc_9,,L_27,bcu,6.773,Bad
302,sym_8_mc_9__L_28,sym_8_mc_9,,L_28,bcu,7.108,Bad
303,sym_8_mc_9__L_29,sym_8_mc_9,,L_29,bcu,8.302,Bad
304,sym_8_mc_9__L_2,sym_8_mc_9,,L_2,bcu,1.861,Bad
305,sym_8_mc_9__L_30,sym_8_mc_9,,L_30,bcu,7.617,Bad
306,sym_8_mc_9__L_31,sym_8_mc_9,,L_31,bcu,4.615,Bad
307,sym_8_mc_9__L_32,sym_8_mc_9,,L_32,bcu,7.231,Bad
308,sym_8_mc_9__L_33,sym_8_mc_9,,L_33,bcu,7.257,Bad
309,sym_8_mc_9__L_34,sym_8_mc_9,,L_34,bcu,7.857,Bad
310,sym_8_mc_9__L_35,sym_8_mc_9,,L_35,bcu,7.564,Bad
311,sym_8_mc_9__L_36,sym_8_mc_9,,L_36,bcu,8.386,Bad
312,sym_8_mc_9__L_37,sym_8_mc_9,,L_37,bcu,7.766,Bad
313,sym_8_mc_9__L_38,sym_8_mc_9,,L_38,bcu,7.864,Bad
314,sym_8_mc_9__L_39,sym_8_mc_9,,L_39,bcu,8.909,Bad
315,sym_8_mc_9__L_3,sym_8_mc_9,,L_3,bcu,1.868,Bad
316,sym_8_mc_9__L_40,sym_8_mc_9,,L_40,bcu,8.621,Bad
317,sym_8_mc_9__L_41,sym_8_mc_9,,L_41,bcu,8.723,Bad
318,sym_8_mc_9__L_42,sym_8_mc_9,,L_42,bcu,8.074,Bad
319,sym_8_mc_9__L_43,sym_8_mc_9,,L_43,bcu,9.966,Poor
320,sym_8_mc_9__L_44,sym_8_mc_9,,L_44,bcu,9.516,Bad
321,sym_8_mc_9__L_45,sym_8_mc_9,,L_45,bcu,8.838,Bad
322,sym_8_mc_9__L_46,sym_8_mc_9,,L_46,bcu,11.187,Poor
323,sym_8_mc_9__L_47,sym_8_mc_9,,L_47,bcu,11.512,Poor
324,sym_8_mc_9__L_4,sym_8_mc_9,,L_4,bcu,1.468,Bad
325,sym_8_mc_9__L_5,sym_8_mc_9,,L_5,bcu,1.383,Bad
326,sym_8_mc_9__L_6,sym_8_mc_9,,L_6,bcu,1.61,Bad
